ID,PREDICTED
1,neutral
2,neutral
3,positive
4,neutral
5,neutral
6,positive
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,positive
15,neutral
16,neutral
17,neutral
18,positive
19,neutral
20,neutral
21,positive
22,neutral
23,neutral
24,positive
25,neutral
26,neutral
27,neutral
28,positive
29,neutral
30,neutral
31,neutral
32,positive
33,neutral
34,neutral
35,neutral
36,neutral
37,positive
38,neutral
39,neutral
40,positive
41,neutral
42,neutral
43,positive
44,neutral
45,neutral
46,positive
47,neutral
48,neutral
49,neutral
50,neutral
51,positive
52,neutral
53,neutral
54,positive
55,neutral
56,neutral
57,positive
58,positive
59,neutral
60,neutral
61,neutral
62,neutral
63,positive
64,neutral
65,neutral
66,positive
67,neutral
68,neutral
69,positive
70,neutral
71,neutral
72,positive
73,neutral
74,neutral
75,positive
76,neutral
77,positive
78,neutral
79,neutral
80,neutral
81,positive
82,neutral
83,neutral
84,positive
85,neutral
86,neutral
87,positive
88,neutral
89,neutral
90,positive
91,neutral
92,neutral
93,positive
94,neutral
95,neutral
96,positive
97,neutral
98,neutral
99,positive
100,neutral
101,neutral
102,positive
103,neutral
104,neutral
105,positive
106,neutral
107,neutral
108,positive
109,neutral
110,neutral
111,positive
112,neutral
113,neutral
114,positive
115,neutral
116,neutral
117,neutral
118,neutral
119,positive
120,neutral
121,neutral
122,positive
123,neutral
124,neutral
125,positive
126,neutral
127,neutral
128,neutral
129,positive
130,neutral
131,positive
132,neutral
133,neutral
134,neutral
135,neutral
136,neutral
137,positive
138,neutral
139,neutral
140,neutral
141,neutral
142,positive
143,neutral
144,neutral
145,neutral
146,neutral
147,positive
148,neutral
149,neutral
150,positive
151,neutral
152,neutral
153,positive
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,neutral
161,neutral
162,positive
163,neutral
164,neutral
165,positive
166,neutral
167,positive
168,neutral
169,neutral
170,neutral
171,neutral
172,positive
173,neutral
174,neutral
175,positive
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,positive
